player_id,player,pos,team,url
WilcMi01,Mitchell Wilcox,TE,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/WilcMi01_2022.jpg
BurrJo01,Joe Burrow,QB,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/BurrJo01_2022.jpg
MixoJo00,Joe Mixon,RB,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/MixoJo00_2022.jpg
PeriSa00,Samaje Perine,RB,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/PeriSa00_2022.jpg
ChasJa00,Ja'Marr Chase,WR,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/ChasJa00_2022.jpg
TrubMi00,Mitchell Trubisky,QB,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/TrubMi00_2022.jpg
ClayCh01,Chase Claypool,WR,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/ClayCh01_2021.jpg
HarrNa00,Najee Harris,RB,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/HarrNa00_2021.jpg
WarrJa01,Jaylen Warren,RB,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/WarrJa01_2022.jpg
FreiPa00,Pat Freiermuth,TE,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/FreiPa00_2021.jpg
JohnDi01,Diontae Johnson,WR,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/JohnDi01_2020.jpg
GentZa00,Zach Gentry,TE,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/GentZa00_2021.jpg
PickGe00,George Pickens,WR,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/PickGe00_2022.jpg
BoykMi00,Miles Boykin,WR,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/BoykMi00_2022.jpg
HursHa00,Hayden Hurst,TE,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/HursHa00_2022.jpg
BoydTy00,Tyler Boyd,WR,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/BoydTy00_2022.jpg
HiggTe00,Tee Higgins,WR,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/HiggTe00_2022.jpg
ThomMi04,Mike Thomas,WR,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/ThomMi04_2022.jpg
SampDr00,Drew Sample,TE,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/SampDr00_2022.jpg
PachIs00,Isiah Pacheco,RB,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/PachIs00_2022.jpg
EdwaCl00,Clyde Edwards-Helaire,RB,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/EdwaCl00_2022.jpg
McKiJe00,Jerick McKinnon,RB,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/McKiJe00_2022.jpg
MahoPa00,Patrick Mahomes,QB,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2022.jpg
BurtMi00,Michael Burton,FB,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/BurtMi00_2022.jpg
WillMa04,Maxx Williams,TE,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/WillMa04_2022.jpg
AndeSt01,Stephen Anderson,TE,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/AndeSt01_2022.jpg
BaccAn00,Andre Baccellia,WR,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/BaccAn00_2022.jpg
MurrKy00,Kyler Murray,QB,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/MurrKy00_2022.jpg
McSoTr00,Trace McSorley,QB,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/McSoTr00_2022.jpg
BenjEn00,Eno Benjamin,RB,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/BenjEn00_2022.jpg
ConnJa00,James Conner,RB,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/ConnJa00_2022.jpg
DortGr01,Greg Dortch,WR,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/DortGr01_2022.jpg
BrowMa04,Marquise Brown,WR,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/BrowMa04_2022.jpg
ErtzZa00,Zach Ertz,TE,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/ErtzZa00_2022.jpg
GreeA.00,A.J. Green,WR,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/GreeA.00_2022.jpg
IsabAn00,Andy Isabella,WR,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/IsabAn00_2022.jpg
HardMe00,Mecole Hardman,WR,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/HardMe00_2022.jpg
GrayNo00,Noah Gray,TE,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/GrayNo00_2022.jpg
FortJo01,Jody Fortson,TE,KAN,https://static.www.nfl.com/image/private/t_headshot_desktop/league/ejkfbao98cm4p48lpvqv
WatsJu01,Justin Watson,WR,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/WatsJu01_2022.jpg
ValdMa00,Marquez Valdes-Scantling,WR,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/ValdMa00_2022.jpg
KelcTr00,Travis Kelce,TE,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/KelcTr00_2022.jpg
SmitJu00,JuJu Smith-Schuster,WR,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitJu00_2020.jpg
MoorSk01,Skyy Moore,WR,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/MoorSk01_2022.jpg
HousDe01,Dennis Houston,WR,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/HousDe01_2022.jpg
FehoSi00,Simi Fehoko,WR,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/FehoSi00_2022.jpg
FergJa00,Jake Ferguson,TE,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/FergJa00_2022.jpg
HendPe01,Peyton Hendershot,TE,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/HendPe01_2022.jpg
TurpKa00,KaVontae Turpin,WR,DAL,https://s3media.247sports.com/Uploads/Assets/192/689/8689192.jpg?fit=crop&width=100
BratCa00,Cameron Brate,TE,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/BratCa00_2022.jpg
PerrBr02,Breshad Perriman,WR,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/PerrBr02_2022.jpg
PresDa01,Dak Prescott,QB,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/PresDa01_2022.jpg
RushCo00,Cooper Rush,QB,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/RushCo00_2022.jpg
ElliEz00,Ezekiel Elliott,RB,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/ElliEz00_2022.jpg
BradTo00,Tom Brady,QB,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/BradTo00_2022.jpg
FourLe00,Leonard Fournette,RB,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/FourLe00_2022.jpg
JoneJu02,Julio Jones,WR,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/JoneJu02_2022.jpg
WhitRa01,Rachaad White,RB,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/WhitRa01_2022.jpg
DardJa00,Jaelon Darden,WR,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/DardJa00_2022.jpg
EvanMi00,Mike Evans,WR,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/EvanMi00_2022.jpg
GodwCh00,Chris Godwin,WR,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/GodwCh00_2022.jpg
GageRu00,Russell Gage,WR,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/GageRu00_2022.jpg
LambCe00,CeeDee Lamb,WR,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/LambCe00_2022.jpg
PollTo00,Tony Pollard,RB,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/PollTo00_2022.jpg
BrowNo00,Noah Brown,WR,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/BrowNo00_2022.jpg
SchuDa00,Dalton Schultz,TE,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/SchuDa00_2022.jpg
OttoCa00,Cade Otton,TE,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/OttoCa00_2022.jpg
KiefKo00,Ko Kieft,TE,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/KiefKo00_2022.jpg
TogiNo00,Noah Togiai,TE,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/TogiNo00_2022.jpg
SmitDe07,DeVonta Smith,WR,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitDe07_2022.jpg
GoffJa00,Jared Goff,QB,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/GoffJa00_2022.jpg
PascZa00,Zach Pascal,WR,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/PascZa00_2022.jpg
ReynJo00,Josh Reynolds,WR,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/ReynJo00_2022.jpg
RaymKa00,Kalif Raymond,WR,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/RaymKa00_2022.jpg
GainKe00,Kenneth Gainwell,RB,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/GainKe00_2022.jpg
ScotBo02,Boston Scott,RB,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/ScotBo02_2022.jpg
BrowAJ00,A.J. Brown,WR,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/BrowAJ00_2022.jpg
GoedDa00,Dallas Goedert,TE,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/GoedDa00_2022.jpg
WatkQu00,Quez Watkins,WR,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/WatkQu00_2022.jpg
StolJa00,Jack Stoll,TE,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/StolJa00_2022.jpg
SwifDA00,D'Andre Swift,RB,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/SwifDA00_2022.jpg
WillJa06,Jamaal Williams,RB,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/WillJa06_2022.jpg
StxxAm00,Amon-Ra St. Brown,WR,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/StxxAm00_2022.jpg
CharDJ00,DJ Chark,WR,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/CharDJ00_2022.jpg
HockTJ00,T.J. Hockenson,TE,MIN,https://www.pro-football-reference.com/req/20180910/images/headshots/HockTJ00_2022_fix.jpg
HurtJa00,Jalen Hurts,QB,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/HurtJa00_2022.jpg
SandMi01,Miles Sanders,RB,PHI,https://www.pro-football-reference.com/req/20180910/images/headshots/SandMi01_2022.jpg
CephQu00,Quintez Cephus,WR,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/CephQu00_2022.jpg
WrigBr01,Brock Wright,TE,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/WrigBr01_2022.jpg
ZylsSh00,Shane Zylstra,TE,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/ZylsSh00_2022.jpg
TaylJo02,Jonathan Taylor,RB,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/TaylJo02_2022.jpg
RyanMa00,Matt Ryan,QB,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/RyanMa00_2022.jpg
CampPa00,Parris Campbell,WR,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/CampPa00_2022.jpg
HineNy00,Nyheim Hines,RB,BUF,https://www.pro-football-reference.com/req/20180910/images/headshots/HineNy00_2022.jpg
PittMi01,Michael Pittman Jr.,WR,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/PittMi01_2022.jpg
DuliAs00,Ashton Dulin,WR,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/DuliAs00_2022.jpg
WoodJe01,Jelani Woods,TE,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/WoodJe01_2022.jpg
PierAl00,Alec Pierce,WR,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/PierAl00_2022.jpg
MillDa02,Davis Mills,QB,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/MillDa02_2022.jpg
BurkRe00,Rex Burkhead,RB,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/BurkRe00_2022.jpg
