Off_abbrev,Def_abbrev,fga,fgm,xpa,xpm,fga_0_39,fgm_0_39,fga_40_49,fgm_40_49,fga_50,fgm_50,player,vis_team,home_team,week
PIT,MIA,1,1,1,1,0,0,1,1,0,0,Chris Boswell,PIT,MIA,7
MIA,PIT,3,3,1,1,1,1,2,2,0,0,Jason Sanders,PIT,MIA,7
TEN,IND,4,4,1,1,0,0,0,0,0,0,Randy Bullock,IND,TEN,7
IND,TEN,1,1,1,1,0,0,0,0,0,0,Chase McLaughlin,IND,TEN,7
HOU,LVR,3,2,2,2,0,0,0,0,0,0,Ka'imi Fairbairn,HOU,LVR,7
LVR,HOU,1,1,5,5,0,0,0,0,0,0,Daniel Carlson,HOU,LVR,7
CLE,BAL,3,2,2,2,0,0,0,0,0,0,Cade York,CLE,BAL,7
BAL,CLE,3,3,2,2,2,2,0,0,1,1,Justin Tucker,CLE,BAL,7
SEA,LAC,3,3,4,4,1,1,1,1,1,1,Jason Myers,SEA,LAC,7
FA,0,0,0,3,3,0,0,0,0,0,0,Taylor Bertolet,SEA,LAC,7
KAN,SFO,1,0,6,6,1,0,0,0,0,0,Harrison Butker,KAN,SFO,7
SFO,KAN,3,3,2,2,1,1,1,1,1,1,Robbie Gould,KAN,SFO,7
FA,0,0,0,3,3,0,0,0,0,0,0,Mason Crosby,GNB,ERROR - abbrev_team,7
FA,GNB,4,3,2,2,3,3,1,0,0,0,Joey Slye,GNB,ERROR - abbrev_team,7
CHI,NWE,4,4,3,3,2,2,1,1,1,1,Cairo Santos,CHI,NWE,7
FA,0,0,0,2,2,0,0,0,0,0,0,Nick Folk,CHI,NWE,7
BAL,TAM,3,2,3,3,2,2,0,0,1,0,Justin Tucker,BAL,TAM,8
TAM,BAL,3,3,1,1,0,0,0,0,0,0,Ryan Succop,BAL,TAM,8
ATL,CAR,3,3,4,4,2,2,1,1,0,0,Younghoe Koo,CAR,ATL,8
CAR,ATL,3,2,3,2,2,1,1,1,0,0,Eddy Pineiro,CAR,ATL,8
BUF,GNB,2,2,3,3,1,1,1,1,0,0,Tyler Bass,GNB,BUF,8
GNB,BUF,2,1,2,2,1,1,0,0,1,0,Mason Crosby,GNB,BUF,8
FA,IND,1,1,2,2,0,0,0,0,0,0,Joey Slye,ERROR - abbrev_team,IND,8
IND,ERROR - abbrev_team,3,3,1,1,2,2,1,1,0,0,Chase McLaughlin,ERROR - abbrev_team,IND,8
CHI,DAL,1,1,2,2,1,1,0,0,0,0,Cairo Santos,CHI,DAL,8
FA,0,0,0,7,7,0,0,0,0,0,0,Brett Maher,CHI,DAL,8
DET,MIA,2,2,3,3,1,1,1,1,0,0,Michael Badgley,MIA,DET,8
MIA,DET,1,1,4,4,0,0,1,1,0,0,Jason Sanders,MIA,DET,8
HOU,TEN,1,1,1,1,0,0,0,0,0,0,Ka'imi Fairbairn,TEN,HOU,8
TEN,HOU,2,1,2,2,0,0,0,0,0,0,Randy Bullock,TEN,HOU,8
FA,0,0,0,3,3,0,0,0,0,0,0,Brandon McManus,DEN,JAX,8
JAX,DEN,1,1,2,2,1,1,0,0,0,0,Riley Patterson,DEN,JAX,8
MIN,ARI,1,0,5,4,0,0,0,0,0,0,Greg Joseph,ARI,MIN,8
ARI,MIN,2,2,2,2,1,1,1,1,0,0,Matt Prater,ARI,MIN,8
NOR,LVR,2,1,3,3,0,0,0,0,0,0,Wil Lutz,LVR,NOR,8
NWE,NYJ,5,5,1,1,1,1,3,3,1,1,Nick Folk,NWE,NYJ,8
NYJ,NWE,2,1,2,2,1,1,1,0,0,0,Greg Zuerlein,NWE,NYJ,8
PIT,PHI,2,2,1,1,2,2,0,0,0,0,Nick Sciba,PIT,PHI,8
FA,0,0,0,5,5,0,0,0,0,0,0,Jake Elliott,PIT,PHI,8
SFO,LAR,1,1,4,4,0,0,0,0,0,0,Robbie Gould,SFO,LAR,8
