player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
PettDa00,WR,Dante Pettis,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,36.0,0,0,CHI,NYG,4
JoneDa05,QB,Daniel Jones,NYG,8,13,71,0,0,1,11,18,76.1,6,68,2,21,0,0,0,0,0,0,3,3,20,17,3,CHI,0,0,0,75,3,7,1,68,0,0,0.0,0,0,CHI,NYG,4
FielJu00,QB,Justin Fields,CHI,11,22,174,0,0,6,19,56,76.7,7,52,0,16,0,0,0,0,0,1,7,0,35,35,0,NYG,0,0,0,215,4,16,1,40,12,0,0.0,0,0,CHI,NYG,4
HerbKh00,RB,Khalil Herbert,CHI,0,0,0,0,0,0,0,0,0.0,19,77,0,15,1,1,24,0,24,0,0,19,19,0,19,NYG,0,0,0,0,0,0,0,53,24,0,-2.0,26,0,CHI,NYG,4
EbneTr00,RB,Trestan Ebner,CHI,0,0,0,0,0,0,0,0,0.0,6,20,0,11,3,2,8,0,6,1,0,6,6,0,6,NYG,0,0,0,0,0,0,0,13,7,1,11.1,-16,0,CHI,NYG,4
MoonDa00,WR,Darnell Mooney,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,94,0,56,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,108.0,7,1,CHI,NYG,4
WescTr00,TE,Trevon Wesco,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,23,0,23,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,15.0,10,1,CHI,NYG,4
KmetCo00,TE,Cole Kmet,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,16,0,13,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,-6.9,23,0,CHI,NYG,4
St.BEq00,WR,Equanimeous St. Brown,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,24.0,0,0,CHI,NYG,4
BlasKh00,FB,Khari Blasingame,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,0,CHI,NYG,4
